,name,position,birthday,birthplace,pre_team
0,湯澤聖人,DF,1993/10/10,茨城県,谷田部ＦＣ－つくばＦＣ－流通経済大付属柏高－流通経済大－柏レイソル－京都サンガF.C.－柏レイソル－ヴァンフォーレ甲府
1,奈良竜樹,DF,1993/09/19,北海道,北見ブルーサンダース－北見小泉中－コンサドーレ札幌Ｕ－１８－コンサドーレ札幌－ＦＣ東京－コンサドーレ札幌－川崎フロンターレ－鹿島アントラーズ－アビスパ福岡－鹿島アントラーズ
2,重廣卓也,MF,1995/05/05,広島県,三次ＳＣスポーツ少年団－ＡＣ＿ＭＩＮＡＭＩ－広島皆実高－阪南大－京都サンガF.C.
3,宮大樹,DF,1996/04/01,大阪府,大阪セントラルＦＣ－清明学院高－びわこ成蹊スポーツ大－ヴィッセル神戸－水戸ホーリーホック－ヴィッセル神戸－サガン鳥栖
4,前寛之,MF,1995/08/01,北海道,コンサドーレ札幌ユース・Ｕ－１２－コンサドーレ札幌ユース・Ｕ－１５－コンサドーレ札幌Ｕ－１８－コンサドーレ札幌－コンケーン／タイ－北海道コンサドーレ札幌－水戸ホーリーホック－北海道コンサドーレ札幌－水戸ホーリーホック
5,金森健志,MF,1994/04/04,福岡県,若久サッカー少年団－筑陽学園中－筑陽学園高－アビスパ福岡－鹿島アントラーズ－サガン鳥栖－鹿島アントラーズ－サガン鳥栖
6,杉本太郎,MF,1996/02/12,岐阜県,岐阜ＶＡＭＯＳ－帝京大可児高－鹿島アントラーズ－徳島ヴォルティス－鹿島アントラーズ－徳島ヴォルティス－鹿島アントラーズ－松本山雅ＦＣ
7,フアンマデルガド,FW,1990/11/17,スペイン,スペイン
8,城後寿,FW,1986/04/16,福岡県,南ＦＣトータスジュニア－ヴァレンティアＦＣＪｒユース－国見高
9,山岸祐也,FW,1993/08/29,千葉県,尚志高－流通経済大－ザスパクサツ群馬－ＦＣ岐阜－モンテディオ山形
10,志知孝明,DF,1993/12/27,岐阜県,正木サッカー少年団－羽島中－ＦＣ岐阜Ｕ－１８－東海学園大－松本山雅ＦＣ－福島ユナイテッドＦＣ－松本山雅ＦＣ－水戸ホーリーホック－横浜ＦＣ
11,ジョルディクルークス,MF,1994/01/15,ベルギー,ベルギー
12,熊本雄太,DF,1995/07/18,福岡県,川崎ＦＣ－東福岡高－早稲田大－モンテディオ山形
13,渡大生,FW,1993/06/25,広島県,広島高陽ＦＣ　Ｕ－１２－広島高陽ＦＣ　Ｕ－１５－広島皆実高－ギラヴァンツ北九州－徳島ヴォルティス－サンフレッチェ広島－大分トリニータ
14,ルキアン,FW,1991/09/21,ブラジル,ブラジル
15,東家聡樹,FW,1997/04/20,熊本県,アビスパ福岡Ｕ－１８－中京大－アビスパ福岡－ＦＣ今治
16,田邉草民,MF,1990/04/06,東京都,杉九ＳＣ－Ｆｏｒｚａ’０２－国学院久我山高－ＦＣ東京－ＣＥサバデル／スペイン－ＦＣ東京
17,山ノ井拓己,GK,1998/10/25,千葉県,長生マリンズＦＣ－ジェフユナイテッド千葉Ｕ－１５－静岡学園高
18,輪湖直樹,DF,1989/11/26,茨城県,柏レイソルＵ－１５－柏レイソルＵ－１８－ヴァンフォーレ甲府－徳島ヴォルティス－水戸ホーリーホック－柏レイソル
19,杉山力裕,GK,1987/05/01,静岡県,キューズＦＣ－静岡学園高－川崎フロンターレ－清水エスパルス
20,北島祐二,MF,2000/08/04,福岡県,小郡東野サッカークラブ－アビスパ福岡Ｕ－１５－アビスパ福岡Ｕ－１８
21,井上聖也,DF,1999/11/09,兵庫県,末広ＦＣ－宝梅中－西宮高－甲南大
22,鶴野怜樹,FW,2001/01/26,熊本県,立正大淞南高－福岡大在学中
23,前嶋洋太,DF,1997/08/12,神奈川県,横浜ＦＣＪｒユース－横浜ＦＣユース－横浜ＦＣ－カターレ富山－横浜ＦＣ－カターレ富山－横浜ＦＣ－水戸ホーリーホック－横浜ＦＣ
24,村上昌謙,GK,1992/08/07,滋賀県,河西サッカースポーツ少年団－守山北中－草津東高－大阪体育大－レノファ山口ＦＣ－水戸ホーリーホック－レノファ山口ＦＣ
25,ドウグラスグローリ,DF,1989/10/05,ブラジル,ブラジル
26,柳貴博,DF,1997/08/05,東京都,五本木ＦＣ－ＦＣ東京Ｕ－１５深川－ＦＣ東京Ｕ－１８－ＦＣ東京－モンテディオ山形－ＦＣ東京－ベガルタ仙台－ＦＣ東京－北海道コンサドーレ札幌
27,田中達也,MF,1992/06/09,福岡県,Ｙ－ＥＡＳＴ－アビスパ福岡Ｕ－１５－東福岡高－九州産業大－ロアッソ熊本－ＦＣ岐阜－ロアッソ熊本－ガンバ大阪－大分トリニータ－浦和レッズ
28,中村駿,MF,1994/02/24,千葉県,習志野高－駒澤大－ザスパクサツ群馬－モンテディオ山形－湘南ベルマーレ
29,永石拓海,GK,1996/02/16,山口県,高川学園高－福岡大－セレッソ大阪－レノファ山口ＦＣ－セレッソ大阪－アビスパ福岡－セレッソ大阪
30,森山公弥,DF,2002/04/04,福岡県,アビスパ福岡Ｕ－１５－アビスパ福岡Ｕ－１８
31,甲斐鉄士,GK,2004/04/23,大分県,カティオーラＦＣ　Ｕ－１５
