,name,position,birthday,birthplace,pre_team
0,谷晃生,GK,2000/11/22,大阪府,ガンバ大阪Ｊｒユース－ガンバ大阪ユース－ガンバ大阪－湘南ベルマーレ－ガンバ大阪－湘南ベルマーレ－ガンバ大阪
1,杉岡大暉,DF,1998/09/08,東京都,レジスタＦＣ－ＦＣ東京Ｕ－１５深川－市立船橋高－湘南ベルマーレ－鹿島アントラーズ－湘南ベルマーレ－鹿島アントラーズ
2,石原広教,DF,1999/02/26,神奈川県,藤沢ＦＣ－湘南ベルマーレジュニア－湘南ベルマーレＵ－１５平塚－湘南ベルマーレユース－湘南ベルマーレ－アビスパ福岡
3,舘幸希,DF,1997/12/14,三重県,鈴西サッカースポーツ少年団－伊賀ＦＣＪｒユース－四日市中央工高－日本大
4,古林将太,MF,1991/05/11,神奈川県,湘南ベルマーレジュニア－湘南ベルマーレＪｒユース－湘南ベルマーレユース－湘南ベルマーレ－ザスパ草津－湘南ベルマーレ－名古屋グランパス－ベガルタ仙台－名古屋グランパス－ベガルタ仙台
5,岡本拓也,DF,1992/06/18,埼玉県,道祖土サッカー少年団－浦和レッズＪｒユース－浦和レッズユース－浦和レッズ－Ｖ・ファーレン長崎－浦和レッズ－Ｖ・ファーレン長崎－浦和レッズ－湘南ベルマーレ－浦和レッズ－湘南ベルマーレ－浦和レッズ－湘南ベルマーレ－浦和レッズ
6,田中聡,MF,2002/08/13,長野県,長野ＦＣガーフＪｒ．－ＡＣ長野パルセイロＵ－１５－湘南ベルマーレＵ－１８
7,大野和成,DF,1989/08/04,新潟県,春日中－アルビレックス新潟ユース－アルビレックス新潟－愛媛ＦＣ－アルビレックス新潟－湘南ベルマーレ－アルビレックス新潟－湘南ベルマーレ－アルビレックス新潟
8,ウェリントン,FW,1988/02/11,ブラジル,ブラジル
9,山田直輝,MF,1990/07/04,埼玉県,北浦和サッカースポーツ少年団－浦和レッズＪｒユース－浦和レッズユース－浦和レッズ－湘南ベルマーレ－浦和レッズ－湘南ベルマーレ－浦和レッズ－湘南ベルマーレ－浦和レッズ－湘南ベルマーレ－浦和レッズ
10,タリク,FW,1988/02/23,モロッコ,ノルウェー
11,瀬川祐輔,FW,1994/02/07,東京都,日大二高－明治大－ザスパクサツ群馬－大宮アルディージャ－柏レイソル
12,茨田陽生,MF,1991/05/30,千葉県,柏レイソルＵ－１２－柏レイソルＵ－１５－柏レイソルＵ－１８－柏レイソル－大宮アルディージャ
13,米本拓司,MF,1990/12/03,兵庫県,瑞穂ＳＣ－伊丹ＦＣ－伊丹高－ＦＣ東京－名古屋グランパス
14,山本脩斗,DF,1985/06/01,岩手県,盛岡商高－早稲田大－ジュビロ磐田－鹿島アントラーズ
15,大橋祐紀,FW,1996/07/27,千葉県,常盤平ＳＣ－柏イーグルス－ジェフユナイテッド千葉Ｕ－１５－八千代高－中央大
16,町野修斗,FW,1999/09/30,三重県,ＦＣ中瀬ＳＳ－ＦＣアヴェニーダソル－履正社高－横浜Ｆ・マリノス－ギラヴァンツ北九州－横浜Ｆ・マリノス－ギラヴァンツ北九州
17,馬渡洋樹,GK,1994/08/16,福岡県,福翔トナカイＦＣ　Ｕ－１５－東福岡高－鹿屋体育大－愛媛ＦＣ－川崎フロンターレ－愛媛ＦＣ－川崎フロンターレ－ファジアーノ岡山
18,大岩一貴,DF,1989/08/17,愛知県,熱田少年ＳＣ－名古屋ＦＣ－中京大付属中京高－中央大－ジェフユナイテッド千葉－ベガルタ仙台
19,富居大樹,GK,1989/08/27,埼玉県,浦和レッズＪｒユース－武南高－東京国際大－ザスパクサツ群馬－モンテディオ山形
20,福島隼斗,DF,2000/04/26,熊本県,豊川ＦＣ－松橋中－大津高－湘南ベルマーレ－福島ユナイテッドＦＣ－湘南ベルマーレ－福島ユナイテッドＦＣ
21,若月大和,FW,2002/01/18,群馬県,リベルティー大間々ＳＣ－前橋ＳＣＪｒユース－桐生第一高－湘南ベルマーレ－ＦＣシオン／スイス
22,畑大雅,DF,2002/01/20,東京都,松林少年ＳＣ－ＡＺ８６東京青梅ジュニア－ＡＺ８６東京青梅－市立船橋高
23,池田昌生,MF,1999/07/08,大阪府,セレッソ大阪Ｕ－１５－東山高－福島ユナイテッドＦＣ
24,平岡大陽,MF,2002/09/14,兵庫県,長尾ウオーズＦＣ－セレッソ大阪西Ｕ－１５－履正社高
25,鈴木章斗,FW,2003/07/30,大阪府,ＥＸＥ’９０ＦＣ－ガンバ大阪Ｊｒユース－阪南大高
26,鈴木淳之介,MF,2003/07/12,岐阜県,ＦＣ．ＤＩＶＩＮＥ－ＳＣ岐阜ＶＡＭＯＳ－帝京大可児高
27,立川小太郎,GK,1997/01/04,和歌山県,富田ＳＳＳ－富田中－初芝橋本高－大阪体育大－ＡＣ長野パルセイロ
28,松村晟怜,DF,2003/12/03,新潟県,六日町サッカージュニア－ＦＣ大和ジュニオルス－長岡ＪｒユースＦＣ－帝京長岡高
29,石井大生,DF,2003/12/29,神奈川県,大道ＳＣ－湘南ベルマーレＵ－１５平塚－湘南ベルマーレＵ－１８
30,原直生,MF,2003/07/22,長野県,ＦＣ．ＣＥＤＡＣジュニア－ＦＣ．ＣＥＤＡＣ　Ｊｒユース－湘南ベルマーレＵ－１８
31,永木亮太,MF,1988/06/04,神奈川県,ヴェルディジュニア－ＦＣ奈良－川崎フロンターレＵ－１５－川崎フロンターレＵ－１８－中央大－湘南ベルマーレ－鹿島アントラーズ
32,高橋諒,MF,1993/07/16,群馬県,国見中－国見高－明治大－名古屋グランパス－湘南ベルマーレ－名古屋グランパス－湘南ベルマーレ－松本山雅ＦＣ
