,name,position,birthday,birthplace,pre_team
0,菅野孝憲,GK,1984/05/03,埼玉県,ヴェルディＪｒユース－東京ヴェルディ１９６９ユース－横浜ＦＣ－柏レイソル－京都サンガF.C.－北海道コンサドーレ札幌－京都サンガF.C.－北海道コンサドーレ札幌－京都サンガF.C.
1,田中駿汰,DF,1997/05/26,大阪府,ＮＳＣ北斗ＳＣ－ガンバ大阪Ｊｒユース－履正社高－大阪体育大
2,菅大輝,FW,1998/09/10,北海道,コンサドーレ札幌Ｕ－１２－コンサドーレ札幌Ｕ－１５－北海道コンサドーレ札幌Ｕ－１８
3,福森晃斗,DF,1992/12/16,神奈川県,ＦＣ高谷０４－村岡中－桐光学園高－川崎フロンターレ－コンサドーレ札幌－川崎フロンターレ－北海道コンサドーレ札幌－川崎フロンターレ
4,高嶺朋樹,MF,1997/12/29,北海道,コンサドーレ札幌Ｕ－１２－コンサドーレ札幌Ｕ－１５－コンサドーレ札幌Ｕ－１８－筑波大
5,ルーカスフェルナンデス,MF,1994/04/24,ブラジル,ブラジル
6,深井一希,MF,1995/03/11,北海道,コンサドーレ札幌Ｕ－１２－コンサドーレ札幌Ｕ－１５－コンサドーレ札幌Ｕ－１８
7,金子拓郎,MF,1997/07/30,埼玉県,小川サッカースポーツ少年団－クマガヤＳＣ－前橋育英高－日本大
8,宮澤裕樹,MF,1989/06/28,北海道,室蘭大沢ＦＣ－室蘭鶴ケ崎中－室蘭大谷高
9,青木亮太,MF,1996/03/06,東京都,東京ヴェルディＪｒユース－流通経済大付属柏高－名古屋グランパス－大宮アルディージャ－名古屋グランパス
10,駒井善成,MF,1992/06/06,京都府,京都パープルサンガジュニア－京都サンガF.C.Ｕ－１５－京都サンガF.C.Ｕ－１８－京都サンガF.C.－浦和レッズ－北海道コンサドーレ札幌－浦和レッズ
11,藤村怜,FW,1999/05/26,北海道,栗山ＦＣ－コンサドーレ札幌Ｕ－１５－北海道コンサドーレ札幌Ｕ－１８－北海道コンサドーレ札幌－モンテディオ山形
12,檀崎竜孔,MF,2000/05/31,宮城県,館腰サッカースポーツ少年団－青森山田中－青森山田高－北海道コンサドーレ札幌－ブリスベン　ロアーＦ／オーストラリア－北海道コンサドーレ札幌－ジェフユナイテッド千葉
13,ガブリエルシャビエル,FW,1993/07/15,ブラジル,ブラジル
14,小柏剛,FW,1998/07/09,群馬県,ファナティコス－大宮アルディージャＪｒユース－大宮アルディージャユース－明治大
15,西大伍,DF,1987/08/28,北海道,コンサドーレ札幌ユース・Ｕ－１５－コンサドーレ札幌ユース・Ｕ－１８－コンサドーレ札幌－アルビレックス新潟－コンサドーレ札幌－鹿島アントラーズ－ヴィッセル神戸－浦和レッズ
