,name,position,birthday,birthplace,pre_team
0,大久保択生,GK,1989/09/18,東京都,帝京中－帝京高－横浜ＦＣ－ジェフユナイテッド千葉－Ｖ・ファーレン長崎－ＦＣ東京－サガン鳥栖
1,立田悠悟,DF,1998/06/21,静岡県,入江サッカースポーツ少年団－清水クラブＳＳ－清水エスパルスＪｒユース－清水エスパルスユース
2,ホナウド,MF,1996/10/23,ブラジル,ブラジル
3,原輝綺,MF,1998/07/30,埼玉県,市立船橋高－アルビレックス新潟－サガン鳥栖
4,ヴァウド,DF,1992/02/10,ブラジル,ブラジル
5,竹内涼,MF,1991/03/08,静岡県,浜松竜禅寺ＦＣ－浜松ＪＦＣ－浜松開誠館中－浜松開誠館高－清水エスパルス－ギラヴァンツ北九州
6,片山瑛一,DF,1991/11/30,埼玉県,川越高－早稲田大－ファジアーノ岡山－セレッソ大阪
7,松岡大起,MF,2001/06/01,熊本県,ソレッソ熊本－サガン鳥栖Ｕ－１８－サガン鳥栖
8,チアゴサンタナ,FW,1993/02/04,ブラジル,ブラジル
9,カルリーニョスジュニオ,FW,1994/08/08,ブラジル,ブラジル
10,中山克広,MF,1996/07/17,神奈川県,都筑サッカー友の会－横浜ＦＣＪｒユース－麻布大渕野辺高－専修大－横浜ＦＣ
11,宮本航汰,MF,1996/06/19,静岡県,清水エスパルスＪｒユース－清水エスパルスユース－清水エスパルス－Ｖ・ファーレン長崎－清水エスパルス－Ｖ・ファーレン長崎－清水エスパルス－ＦＣ岐阜－清水エスパルス－ＦＣ岐阜
12,後藤優介,FW,1993/04/23,鹿児島県,鹿屋東中－大分トリニータＵ－１８－大分トリニータ－ＨＯＹＯ　ＡＣ　ＥＬＡＮ　大分－大分トリニータ
13,岸本武流,MF,1997/07/16,奈良県,桜ＦＣ－セレッソ大阪Ｕ－１８－セレッソ大阪－水戸ホーリーホック－セレッソ大阪－徳島ヴォルティス－セレッソ大阪－徳島ヴォルティス
14,西澤健太,MF,1996/09/06,静岡県,カワハラＦＣ－清水エスパルスＪｒユース－清水エスパルスユース－筑波大
