,name,position,birthday,birthplace,pre_team
0,高丘陽平,GK,1996/03/16,神奈川県,あざみ野Ｆ．Ｃ．－横浜ＦＣＪｒユース－横浜ＦＣユース－横浜ＦＣ－サガン鳥栖－横浜ＦＣ－サガン鳥栖
1,永戸勝也,DF,1995/01/15,千葉県,中志津ＳＣ－Ｐ．Ｂ．Ｊ千葉Ｊｒユース－八千代高－法政大－ベガルタ仙台－鹿島アントラーズ
2,畠中槙之輔,DF,1995/08/25,神奈川県,横浜すみれＳＣ－東京ヴェルディジュニア－東京ヴェルディＪｒユース－東京ヴェルディユース－東京ヴェルディ－ＦＣ町田ゼルビア－東京ヴェルディ
3,エドゥアルド,DF,1993/04/27,ブラジル,ブラジル
4,渡辺皓太,MF,1998/10/18,神奈川県,Ｆ．Ｆ．ＶＩＧＯＲＥ－東京ヴェルディジュニア－東京ヴェルディＪｒユース－東京ヴェルディユース－東京ヴェルディ
5,エウベル,FW,1992/05/27,ブラジル,ブラジル
6,喜田拓也,MF,1994/08/23,神奈川県,横浜Ｆ・マリノスプライマリー－横浜Ｆ・マリノスＪｒユース－横浜Ｆ・マリノスユース
7,レオセアラ,FW,1995/02/03,ブラジル,ブラジル
8,マルコスジュニオール,FW,1993/01/19,ブラジル,ブラジル
9,アンデルソンロペス,FW,1993/09/15,ブラジル,ブラジル
10,吉尾海夏,MF,1998/06/28,兵庫県,Ｎ２ＳＣ－横浜Ｆ・マリノスプライマリー－横浜Ｆ・マリノスＪｒユース－横浜Ｆ・マリノスユース－横浜Ｆ・マリノス－ベガルタ仙台－横浜Ｆ・マリノス－ＦＣ町田ゼルビア－横浜Ｆ・マリノス－ＦＣ町田ゼルビア
11,藤田譲瑠チマ,MF,2002/02/16,東京都,町田大蔵ＦＣ－東京ヴェルディＪｒユース－東京ヴェルディユース－東京ヴェルディ－徳島ヴォルティス
12,宮市亮,FW,1992/12/14,愛知県,シルフィードＦＣ－中京大附属中京高－アーセナル／イングランド－フェイエノールト／オランダ－アーセナル／イングランド－ボルトン　ワンダラーズ／イングランド－アーセナル／イングランド－ウィガンアスレティック／イングランド－アーセナル／イングランド－ＦＣトゥエンテ／オランダ－アーセナル／イングランド－ＦＣザンクトパウリ／ドイツ
13,水沼宏太,MF,1990/02/22,神奈川県,あざみ野Ｆ．Ｃ．－横浜Ｆ・マリノスＪｒユース－横浜Ｆ・マリノスユース－横浜Ｆ・マリノス－栃木ＳＣ－横浜Ｆ・マリノス－栃木ＳＣ－横浜Ｆ・マリノス－サガン鳥栖－横浜Ｆ・マリノス－サガン鳥栖－ＦＣ東京－セレッソ大阪－ＦＣ東京－セレッソ大阪
14,實藤友紀,DF,1989/01/19,徳島県,昭和イレブン－徳島ＦＣリベリモ－富田中－城南高－高知大－川崎フロンターレ－アビスパ福岡
15,仲川輝人,FW,1992/07/27,神奈川県,川崎フロンターレＵ－１５－川崎フロンターレＵ－１８－専修大－横浜Ｆ・マリノス－ＦＣ町田ゼルビア－横浜Ｆ・マリノス－アビスパ福岡
16,岩田智輝,DF,1997/04/07,大分県,四日市南ＳＳＣ－大分トリニータＵ－１５宇佐－大分トリニータＵ－１８－大分トリニータ
17,小池龍太,DF,1995/08/29,東京都,松ヶ谷ＦＣ－横河武蔵野ＦＣジュニア－ＪＦＡアカデミー福島－レノファ山口ＦＣ－柏レイソル－ロケレン／ベルギー
18,小池裕太,DF,1996/11/06,栃木県,ＦＣアネーロ宇都宮Ｕ－１５－アルビレックス新潟ユース－流通経済大－シント＝トロイデン／ベルギー－鹿島アントラーズ－シント＝トロイデン／ベルギー－セレッソ大阪
19,松原健,DF,1993/02/16,大分県,四日市南ＳＳＣ－ＦＣ中津－大分トリニータＵ－１８－大分トリニータ－アルビレックス新潟－大分トリニータ－アルビレックス新潟
