,name,position,birthday,birthplace,pre_team
0,児玉剛,GK,1987/12/28,大阪府,ガンバ大阪ジュニア－吹田クラブ－京都パープルサンガユース－関西大－京都サンガF.C.－愛媛ＦＣ－モンテディオ山形
1,森重真人,DF,1987/05/21,広島県,高陽ＦＣ－サンフレッチェ広島Ｊｒユース－広島皆実高－大分トリニータ
2,長友佑都,DF,1986/09/12,愛媛県,神拝小－北中－東福岡高－明治大－ＦＣ東京－チェゼーナ／イタリア－ＦＣ東京－チェゼーナ／イタリア－インテル　ミラノ／イタリア－チェゼーナ／イタリア－インテル　ミラノ／イタリア－ガラタサライ／トルコ－オリンピック　マルセイユ／フランス
3,小川諒也,DF,1996/11/24,東京都,コレーガＳＣ－Ｆｏｒｚａ’０２－流通経済大付属柏高
4,三田啓貴,MF,1990/09/14,東京都,バディＳＣ－ＦＣ東京Ｕ－１５深川－ＦＣ東京Ｕ－１８－明治大－ＦＣ東京－ベガルタ仙台－ＦＣ東京－ベガルタ仙台－ヴィッセル神戸
5,髙萩洋次郎,MF,1986/08/02,福島県,植田中－サンフレッチェ広島ユース－サンフレッチェ広島－愛媛ＦＣ－サンフレッチェ広島－ウェスタンシドニーワ／オーストラリア－ＦＣソウル／大韓民国
6,ディエゴオリヴェイラ,FW,1990/06/22,ブラジル,ブラジル
7,東慶悟,MF,1990/07/20,福岡県,深町ＳＣ－若松中－大分トリニータＵ－１８－大分トリニータ－大宮アルディージャ
8,永井謙佑,FW,1989/03/05,広島県,医生ヶ丘サッカー少年団－浅川中－九州国際大付属高－福岡大－名古屋グランパス－ＲＳリエージュ／ベルギー－名古屋グランパス
9,波多野豪,GK,1998/05/25,東京都,武蔵村山１ＦＣ－ＦＣ東京Ｕ－１５むさし－ＦＣ東京Ｕ－１８
10,アダイウトン,MF,1990/12/06,ブラジル,ブラジル
11,青木拓矢,MF,1989/09/16,群馬県,高崎西ＦＣ－ＦＣホリコシ－ＦＣ前橋Ｊｒユース－前橋育英高－大宮アルディージャ－浦和レッズ
12,紺野和也,MF,1997/07/11,埼玉県,吉川ホワイトシャーク－Ｃ．Ａ．ＡＬＥＧＲＥ－武南高－法政大
13,品田愛斗,MF,1999/09/19,埼玉県,レジスタＦＣ－ＦＣ東京Ｕ－１５深川－ＦＣ東京Ｕ－１８
14,山下敬大,FW,1996/03/13,福岡県,川崎ＦＣ－川崎ＦＣ－九州国際大付属高－福岡大－レノファ山口ＦＣ－ジェフユナイテッド千葉－サガン鳥栖
15,レアンドロ,MF,1993/05/12,ブラジル,ブラジル
16,渡邊凌磨,MF,1996/10/02,埼玉県,前橋育英高－早稲田大－インゴルシュタットⅡ／ドイツ－インゴルシュタット０４／ドイツ－アルビレックス新潟－モンテディオ山形
17,ヤクブスウォビィク,GK,1991/08/31,ポーランド,ポーランド
18,鈴木準弥,DF,1996/01/07,静岡県,アスルクラロ沼津Ｕ１２－ＡＣＮジュビロ沼津－清水エスパルスユース－早稲田大－ＶｆＲアーレン／ドイツ－藤枝ＭＹＦＣ－ブラウブリッツ秋田
19,岡崎慎,DF,1998/10/10,東京都,コアラＳＣ－ＦＣ東京Ｕ－１５深川－ＦＣ東京Ｕ－１８－ＦＣ東京－清水エスパルス
20,木本恭生,DF,1993/08/06,静岡県,富士見台サッカースポーツ少年団－静岡学園中－静岡学園高－福岡大－セレッソ大阪－名古屋グランパス
21,安部柊斗,MF,1997/12/05,東京都,ＦＣ東京Ｕ－１５むさし－ＦＣ東京Ｕ－１８－明治大
22,寺山翼,MF,2000/04/10,埼玉県,新座片山ＦＣ－ＦＣ東京Ｕ－１５むさし－ＦＣ東京Ｕ－１８－順天堂大在学中
23,林彰洋,GK,1987/05/07,東京都,柏レイソル青梅Ｊｒユース－流通経済大付属柏高－流通経済大－プリマスアーガイルＦＣ／イングランド－ＲＯＣシャルルロワ／ベルギー－清水エスパルス－サガン鳥栖－清水エスパルス－サガン鳥栖
24,西堂久俊,MF,2001/03/27,千葉県,三井千葉ＳＣ－柏レイソルＵ－１５－市立船橋高－早稲田大在学中
25,中村帆高,DF,1997/08/12,神奈川県,横浜Ｆ・マリノスプライマリー追浜－横浜Ｆ・マリノスＪｒユース追浜－日大藤沢高－明治大
