,name,position,birthday,birthplace,pre_team
0,チョンソンリョン,GK,1985/01/04,大韓民国,大韓民国
1,登里享平,DF,1990/11/13,大阪府,ＥＸＥ’９０ＦＣ－香川西高
2,塚川孝輝,MF,1994/07/16,広島県,仁保少年ＳＣ－サンフレッチェ広島Ｊｒユース－広島観音高－流通経済大－ファジアーノ岡山－松本山雅ＦＣ－ＦＣ岐阜－松本山雅ＦＣ
3,ジェジエウ,DF,1994/03/05,ブラジル,ブラジル
4,谷口彰悟,DF,1991/07/15,熊本県,熊本ユナイテッドＳＣ－大津高－筑波大
5,ジョアンシミッチ,MF,1993/05/19,ブラジル,ブラジル
6,車屋紳太郎,DF,1992/04/05,熊本県,長嶺中－大津高－筑波大
7,橘田健人,MF,1998/05/29,鹿児島県,国分西サッカースポーツ少年団－舞鶴中－神村学園高－桐蔭横浜大
8,レアンドロダミアン,FW,1989/07/22,ブラジル,ブラジル
9,大島僚太,MF,1993/01/23,静岡県,船越ＳＳＳ－静岡学園中－静岡学園高
10,小林悠,FW,1987/09/23,東京都,町田ＪＦＣ－町田ＪＦＣＪｒユース－麻布大附属渕野辺高－拓殖大
11,山根視来,DF,1993/12/22,神奈川県,あざみ野Ｆ．Ｃ．－東京ヴェルディ１９６９ジュニア－東京ヴェルディ１９６９Ｊｒユース－東京ヴェルディＪｒユース－ウィザス高－桐蔭横浜大－湘南ベルマーレ
12,脇坂泰斗,MF,1995/06/11,神奈川県,ＦＣ本郷－エスペランサＪｒユース－川崎フロンターレＵ－１８－阪南大
13,佐々木旭,DF,2000/01/26,埼玉県,ＦＣジョカーレ－ＥＣ　ＪＯＧＡＤＯＲ－埼玉平成高－流通経済大
14,瀬古樹,MF,1997/12/22,東京都,三菱養和ＳＣ巣鴨ジュニア－三菱養和ＳＣ巣鴨Ｊｒユース－明治大－横浜ＦＣ
15,小塚和季,MF,1994/08/02,新潟県,見附ジュニアＦＣ－見附ＦＣ　Ｕ－１２－長岡ＪｒユースＦＣ－帝京長岡高－アルビレックス新潟－レノファ山口ＦＣ－アルビレックス新潟－レノファ山口ＦＣ－アルビレックス新潟－レノファ山口ＦＣ－アルビレックス新潟－ヴァンフォーレ甲府－大分トリニータ
16,チャナティップ,MF,1993/10/05,タイ,タイ
17,遠野大弥,FW,1999/03/14,静岡県,藤枝明誠ＳＣ－藤枝明誠高－Ｈｏｎｄａ　ＦＣ－川崎フロンターレ－アビスパ福岡
18,知念慶,FW,1995/03/17,沖縄県,北丘ＦＣ－南風原中－知念高－愛知学院大－川崎フロンターレ－大分トリニータ
19,安藤駿介,GK,1990/08/10,東京都,ヴァロールＳＣウェスト－川崎フロンターレＵ－１５－川崎フロンターレＵ－１８－川崎フロンターレ－湘南ベルマーレ
20,早坂勇希,GK,1999/05/22,東京都,ＦＣ　Ｗｉｎｓ－川崎フロンターレＵ－１２－川崎フロンターレＵ－１５－川崎フロンターレＵ－１８－桐蔭横浜大
21,マルシーニョ,FW,1995/05/16,ブラジル,ブラジル
22,宮城天,FW,2001/06/02,神奈川県,川崎フロンターレＵ－１２－川崎フロンターレＵ－１５－川崎フロンターレＵ－１８－川崎フロンターレ－カターレ富山
23,松井蓮之,MF,2000/02/27,福島県,アルテーロＦＣいわき－リベルダード磐城－矢板中央高－法政大
24,永長鷹虎,MF,2003/04/07,兵庫県,ＡＣアスロン－リガールＪＰＣ－興国高
25,丹野研太,GK,1986/08/30,宮城県,ＦＣみやぎバルセロナＪｒユース－ＦＣみやぎバルセロナユース－セレッソ大阪－Ｖ・ファーレン長崎－セレッソ大阪－大分トリニータ－セレッソ大阪－大分トリニータ－セレッソ大阪
26,五十嵐太陽,FW,2003/04/14,神奈川県,ＳＣＨ　ＦＣ－川崎フロンターレＵ－１２－川崎フロンターレＵ－１５－川崎フロンターレＵ－１８
27,高井幸大,DF,2004/09/04,神奈川県,リバーＦＣ－川崎フロンターレＵ－１２－川崎フロンターレＵ－１５
28,田邉秀斗,DF,2002/05/05,京都府,山田荘ＳＣ－奈良ＹＭＣＡＳＣＪｒユース－静岡学園高
29,山村和也,MF,1989/12/02,長崎県,国見中－国見高－流通経済大－鹿島アントラーズ－セレッソ大阪
30,山田新,FW,2000/05/30,神奈川県,鴨江サッカースポーツ少年団－翠翔ＳＣ－川崎フロンターレＵ－１５－川崎フロンターレＵ－１８－桐蔭横浜大在学中
31,家長昭博,MF,1986/06/13,兵庫県,ガンバ大阪Ｊｒユース－ガンバ大阪ユース－ガンバ大阪－大分トリニータ－ガンバ大阪－大分トリニータ－ガンバ大阪－セレッソ大阪－ＲＣＤマジョルカ／スペイン－蔚山現代／大韓民国－ガンバ大阪－ＲＣＤマジョルカ／スペイン－大宮アルディージャ
