,name,position,birthday,birthplace,pre_team
0,東口順昭,GK,1986/05/12,大阪府,ＦＣＯＷＬＳＩＮＴＥＲ．ＨＩＲＯＮＯ－ガンバ大阪Ｊｒユース－洛南高－福井工大－新潟経営大－アルビレックス新潟
1,福岡将太,DF,1995/10/24,東京都,ＪＡＣＰＡ東京ＦＣ－ＪＡＣＰＡ東京Ｊｒユース－実践学園高－湘南ベルマーレ－福島ユナイテッドＦＣ－湘南ベルマーレ－福島ユナイテッドＦＣ－湘南ベルマーレ－栃木ＳＣ－徳島ヴォルティス
2,昌子源,DF,1992/12/11,兵庫県,フレスカ神戸Ｕ－１２－ガンバ大阪Ｊｒユース－米子北高－鹿島アントラーズ－トゥールーズＦＣ／フランス
3,藤春廣輝,DF,1988/11/28,大阪府,クサカＳＳ－ＥＸＥ’９０ＦＣ－東海大仰星高－大阪体育大
4,三浦弦太,DF,1995/03/01,愛知県,ＦＣ豊橋デューミラン－大阪桐蔭高－清水エスパルス
5,チュセジョン,MF,1990/10/30,大韓民国,大韓民国
6,小野瀬康介,MF,1993/04/22,東京都,ミッキーＳＣ－横浜ＦＣＪｒユース－横浜ＦＣユース－横浜ＦＣ－レノファ山口ＦＣ
7,レアンドロペレイラ,FW,1991/07/13,ブラジル,ブラジル
8,倉田秋,MF,1988/11/26,大阪府,ＦＣファルコン－ガンバ大阪Ｊｒユース－ガンバ大阪ユース－ガンバ大阪－ジェフユナイテッド千葉－ガンバ大阪－セレッソ大阪
9,ウェリントンシウバ,MF,1993/01/06,ブラジル,ブラジル
10,髙尾瑠,DF,1996/11/09,愛知県,Ａ．Ｆ．Ｃ．Ａｇｕｉ－名古屋グランパス名古屋－名古屋グランパスＵ１５－名古屋グランパスＵ１８－関西学院大
11,福田湧矢,MF,1999/04/04,福岡県,小倉南ＦＣ－小倉南ＦＣＪｒユース－東福岡高
12,齊藤未月,MF,1999/01/10,神奈川県,藤沢ＦＣ－湘南ベルマーレジュニア－湘南ベルマーレＵ－１５平塚－湘南ベルマーレユース－湘南ベルマーレ－ＦＣルビン・カザン／ロシア連邦－湘南ベルマーレ
13,佐藤瑶大,DF,1998/09/10,福島県,羽衣ＳＣ－立川エルフＦＣ－ＦＣ多摩Ｊｒユース－駒澤大高－明治大
14,奥野耕平,MF,2000/04/03,兵庫県,ガンバ大阪Ｊｒユース－ガンバ大阪ユース
15,パトリック,FW,1987/10/26,ブラジル,ブラジル
16,クォンギョンウォン,DF,1992/01/31,大韓民国,大韓民国
17,加藤大智,GK,1997/04/14,愛知県,名古屋グランパスＵ－１５－名古屋グランパスＵ－１８－明治大－愛媛ＦＣ－ガンバ大阪－愛媛ＦＣ
18,一森純,GK,1991/07/02,大阪府,ゼッセル熊取ＦＣ－セレッソ大阪Ｕ－１５－セレッソ大阪Ｕ－１８－関西学院大－レノファ山口ＦＣ－ファジアーノ岡山
19,ダワン,MF,1996/06/03,ブラジル,ブラジル
20,黒川圭介,DF,1997/04/13,兵庫県,ＦＣ高津－ＦＣライオスＪｒユース－ヴィッセル神戸伊丹Ｕ－１５－大阪桐蔭高－関西大
21,石川慧,GK,1992/09/30,新潟県,関屋中－新潟明訓高－ベガルタ仙台－ソニー仙台ＦＣ－ベガルタ仙台－ブラウブリッツ秋田－ベガルタ仙台－栃木ＳＣ－サガン鳥栖
22,柳澤亘,DF,1996/06/28,千葉県,柏レイソルＵ－１２－鹿島アントラーズつくばＪｒユース－八千代松蔭高－順天堂大－ＦＣ岐阜－水戸ホーリーホック
23,山本悠樹,MF,1997/11/06,滋賀県,野洲ジュニアＦＣ－ＳＡＧＡＷＡ　ＳＨＩＧＡ　ＦＣ－ＦＣ湖東－草津東高－関西学院大
24,坂本一彩,FW,2003/08/26,熊本県,ソレッソ熊本－ＪＦＡアカデミー福島Ｕ－１５－ソレッソ熊本－ガンバ大阪ユース
25,山見大登,FW,1999/08/16,大阪府,千里ひじりＳＣ－千里丘ＦＣ－豊中第八中－大阪学院大高－関西学院大
26,宇佐美貴史,FW,1992/05/06,京都府,ガンバ大阪Ｊｒユース－ガンバ大阪ユース－ガンバ大阪－ＦＣバイエルン　ミュンヘン／ドイツ－ホッフェンハイム／ドイツ－ガンバ大阪－ＦＣアウクスブルク／ドイツ－フォルトゥナデュッセルドルフ／ドイツ
27,シンウォノ,DF,2001/05/19,大韓民国,大韓民国
28,中村仁郎,MF,2003/08/22,大阪府,ダックＳＣ－ガンバ大阪Ｊｒユース－ガンバ大阪ユース
29,石毛秀樹,MF,1994/09/21,静岡県,富士第一ＳＳＳ－清水エスパルスＪｒユース－清水エスパルスユース－清水エスパルス－ファジアーノ岡山－清水エスパルス－ファジアーノ岡山－清水エスパルス
30,足立優,GK,2004/08/14,大阪府,さなえサッカースポーツ少年団－ガンバ大阪Ｊｒユース
31,桒原陸人,MF,2005/01/21,京都府,長岡京サッカースポーツ少年団－ガンバ大阪Ｊｒユース
32,南野遥海,FW,2004/05/13,大阪府,ウィングスＳＳ習志野－セレッソ大阪Ｕ－１２－ガンバ大阪ジュニア－ガンバ大阪Ｊｒユース
33,吉原優輝,DF,2004/07/19,大阪府,ジョイナスＦＣ－ガンバ大阪Ｊｒユース
