,name,position,birthday,birthplace,pre_team
0,ランゲラック,GK,1988/08/22,オーストラリア,オーストラリア
1,チアゴ,DF,1990/06/17,ブラジル,ブラジル
2,丸山祐市,DF,1989/06/16,東京都,バディＳＣ－ＦＣ東京Ｕ－１５－国学院久我山高－明治大－ＦＣ東京－湘南ベルマーレ－ＦＣ東京
3,中谷進之介,DF,1996/03/24,千葉県,柏レイソルＵ－１２－柏レイソルＵ－１５－柏レイソルＵ－１８－柏レイソル
4,長澤和輝,MF,1991/12/16,千葉県,ちはら台ＳＣ－三井千葉ＳＣ－八千代高－専修大－１．ＦＣケルン／ドイツ－浦和レッズ－ジェフユナイテッド千葉－浦和レッズ
5,宮原和也,DF,1996/03/22,広島県,佐東ＦＣ－サンフレッチェ広島Ｊｒユース－サンフレッチェ広島ユース－サンフレッチェ広島－名古屋グランパス－サンフレッチェ広島－名古屋グランパス－サンフレッチェ広島
6,阿部浩之,MF,1989/07/05,奈良県,高田ＦＣ－大阪桐蔭高－関西学院大－ガンバ大阪－川崎フロンターレ
7,柿谷曜一朗,FW,1990/01/03,大阪府,セレッソ大阪Ｕ－１２－セレッソ大阪Ｕ－１５－セレッソ大阪Ｕ－１８－セレッソ大阪－徳島ヴォルティス－セレッソ大阪－徳島ヴォルティス－セレッソ大阪－徳島ヴォルティス－セレッソ大阪－ＦＣバーゼル／スイス－セレッソ大阪
8,酒井宣福,FW,1992/11/09,新潟県,三条サッカースポーツ少年団－レザーＦＣＪｒユース－帝京長岡高－アルビレックス新潟－アビスパ福岡－アルビレックス新潟－アビスパ福岡－アルビレックス新潟－ファジアーノ岡山－アルビレックス新潟－大宮アルディージャ－サガン鳥栖
9,マテウスカストロ,FW,1994/09/11,ブラジル,ブラジル
10,相馬勇紀,FW,1997/02/25,東京都,布田ＳＣ－三菱養和調布ＳＳ－三菱養和ＳＣ調布Ｊｒユース－三菱養和ＳＣユース－早稲田大－名古屋グランパス－鹿島アントラーズ
11,藤井陽也,DF,2000/12/26,愛知県,ヒカリＦＣ－グランパスみよし－名古屋グランパスＵ－１２－名古屋グランパスＵ１５－名古屋グランパスＵ－１８
12,仙頭啓矢,MF,1994/12/29,大阪府,ＦＣジョカーレ－ガンバ大阪門真ジュニア－ＦＣグリーンウェーブＵ－１５－京都橘高－東洋大－京都サンガF.C.－横浜Ｆ・マリノス－京都サンガF.C.－横浜Ｆ・マリノス－サガン鳥栖
13,稲垣祥,MF,1991/12/25,東京都,大泉西ハリケーン－サウスユーベＦＣ－ＦＣ東京Ｕ－１５むさし－帝京高－日本体育大－ヴァンフォーレ甲府－サンフレッチェ広島
14,レオシルバ,MF,1985/12/24,ブラジル,ブラジル
15,森下龍矢,DF,1997/04/11,静岡県,掛川ＪＦＣ０１－ジュビロＳＳ掛川－ジュビロ磐田Ｕ－１８－明治大－サガン鳥栖
