,name,position,birthday,birthplace,pre_team
0,八田直樹,GK,1986/06/24,三重県,港中－ジュビロ磐田ユース
1,山本義道,DF,1995/07/25,福岡県,ＦＣ　ＮＥＯ－作陽高－びわこ成蹊スポーツ大－ツエーゲン金沢－横浜Ｆ・マリノス－ジュビロ磐田－横浜Ｆ・マリノス
2,大井健太郎,DF,1984/05/14,静岡県,高洲南スポーツ少年団－ＡＣＭブルックスＪｒユース－藤枝東高－ジュビロ磐田－湘南ベルマーレ－ジュビロ磐田－アルビレックス新潟
3,小川大貴,DF,1991/10/16,静岡県,ＡＣＮジュビロ沼津－ジュビロ磐田ユース－明治大
4,伊藤槙人,DF,1992/10/18,静岡県,浜松ＪＦＣ－ヤマハジュビロ浜北－ヤマハジュビロＳＳ浜松－浜名高－駒澤大－ジェフユナイテッド千葉－水戸ホーリーホック－藤枝ＭＹＦＣ－水戸ホーリーホック－横浜Ｆ・マリノス－ジュビロ磐田－横浜Ｆ・マリノス
5,上原力也,MF,1996/08/25,静岡県,ＡＣＮジュビロ沼津－ジュビロ磐田Ｕ－１８－ジュビロ磐田－ベガルタ仙台
6,大森晃太郎,MF,1992/04/28,大阪府,大阪セントラルＦＣ－ガンバ大阪Ｊｒユース－ガンバ大阪ユース－ガンバ大阪－ヴィッセル神戸－ＦＣ東京
7,杉本健勇,FW,1992/11/18,大阪府,ＦＣルイラモスヴェジット－セレッソ大阪Ｕ－１５－セレッソ大阪Ｕ－１８－セレッソ大阪－東京ヴェルディ－セレッソ大阪－川崎フロンターレ－セレッソ大阪－浦和レッズ－横浜Ｆ・マリノス－浦和レッズ
8,山田大記,MF,1988/12/27,静岡県,ヤマハジュビロＳＳ浜松－ヤマハジュビロ浜北ＳＳ－藤枝東高－明治大－ジュビロ磐田－カールスルーエＳＣ／ドイツ
9,大津祐樹,FW,1990/03/24,茨城県,鹿島アントラーズノルテＪｒユース－成立学園高－柏レイソル－ボルシアＭＧ／ドイツ－ＶＶＶフェンロ／オランダ－柏レイソル－横浜Ｆ・マリノス
10,松本昌也,MF,1995/01/25,大分県,和田ＳＣ－ＦＣ中津１９８１－ＪＦＡアカデミー福島－大分トリニータ
11,鈴木雄斗,MF,1993/12/07,神奈川県,大分トリニータＵ－１２－柏レイソルＵ－１２－柏レイソルＵ－１５－横浜Ｆ・マリノスＪｒユース－横浜Ｆ・マリノスユース－水戸ホーリーホック－モンテディオ山形－川崎フロンターレ－ガンバ大阪－川崎フロンターレ－松本山雅ＦＣ－川崎フロンターレ
12,ジャーメイン良,FW,1995/04/19,神奈川県,南毛利ＦＣ－ＦＣ厚木ＪｒユースＤＲＥＡＭＳ－流通経済大付属柏高－流通経済大－ベガルタ仙台－横浜ＦＣ
13,三浦龍輝,GK,1992/05/17,東京都,町田ＪＦＣジュニア－町田ＪＦＣ－ＦＣ東京Ｕ－１８－明治大－柏レイソル－ＡＣ長野パルセイロ
14,山本康裕,MF,1989/10/29,静岡県,ヤマハジュビロＳＳ浜北－ジュビロ磐田ユース－ジュビロ磐田－アルビレックス新潟－ジュビロ磐田－アルビレックス新潟
15,梶川裕嗣,GK,1991/07/26,愛知県,駒場ＳＣ－名古屋グランパスＵ１２－名古屋グランパスＵ１５－東海学園高－東海学園大－湘南ベルマーレ－徳島ヴォルティス－湘南ベルマーレ－徳島ヴォルティス－横浜Ｆ・マリノス
16,森岡陸,DF,1998/11/20,静岡県,ジュビロＳＳ磐田－ジュビロ磐田Ｕ－１８－法政大
17,袴田裕太郎,DF,1996/06/24,静岡県,浜松白脇サッカースポーツ少年団－ジュビロ磐田Ｕ－１５－浜松開誠館高－明治大－横浜ＦＣ
18,吉長真優,FW,2002/03/20,東京都,ＦＣ府中－成立学園高
19,鹿沼直生,MF,1997/12/07,埼玉県,グランデＦＣ－静岡学園高－専修大－ＳＣ相模原
20,ファビアンゴンザレス,FW,1992/11/23,コロンビア,コロンビア
21,清田奈央弥,MF,2001/08/25,神奈川県,横浜Ｆ・マリノスＪｒユース－ジュビロ磐田Ｕ－１８
22,古川陽介,MF,2003/07/16,滋賀県,ＡＺＵＬ滋賀ＦＣ－京都サンガF.C.Ｕ－１５－静岡学園高
23,黒川淳史,MF,1998/02/04,埼玉県,江南南サッカー少年団－大宮アルディージャＪｒユース－大宮アルディージャユース－大宮アルディージャ－水戸ホーリーホック－大宮アルディージャ－水戸ホーリーホック－大宮アルディージャ
24,ドゥドゥ,MF,1997/02/01,ブラジル,ブラジル
25,リカルドグラッサ,DF,1997/02/16,ブラジル,ブラジル
26,アレクセイコシェレフ,GK,1993/11/19,モルドバ,モルドバ
27,藤原健介,MF,2003/12/21,静岡県,バディＦＣ－ジュビロ磐田Ｕ－１５－ジュビロ磐田Ｕ－１８
28,高野遼,DF,1994/11/13,神奈川県,柳橋ＳＣ－横浜Ｆ・マリノスプライマリー－横浜Ｆ・マリノスＪｒユース－横浜Ｆ・マリノスユース－日本体育大－横浜Ｆ・マリノス－ヴァンフォーレ甲府－横浜Ｆ・マリノス－ヴァンフォーレ甲府－横浜Ｆ・マリノス
29,金子翔太,MF,1995/05/02,栃木県,今市第三カルナヴァル－ＪＦＡアカデミー福島－清水エスパルス－栃木ＳＣ－清水エスパルス－ジュビロ磐田－清水エスパルス
30,遠藤保仁,MF,1980/01/28,鹿児島県,桜島中－鹿児島実業高－横浜フリューゲルス－京都パープルサンガ－ガンバ大阪－ジュビロ磐田－ガンバ大阪－ジュビロ磐田－ガンバ大阪
