,name,position,birthday,birthplace,pre_team
0,西川周作,GK,1986/06/18,大分県,宇佐ＦＣＪｒユース－大分トリニータＵ－１５－大分トリニータＵ－１８－大分トリニータ－サンフレッチェ広島
1,酒井宏樹,DF,1990/04/12,長野県,柏レイソルＵ－１５－柏レイソルＵ－１８－柏レイソル－モジミリンＥＣ／ブラジル－柏レイソル－ハノーファー９６／ドイツ－オリンピック　マルセイユ／フランス
2,伊藤敦樹,MF,1998/08/11,埼玉県,あかつき幼稚園サッカークラブ－浦和道祖土サッカー少年団－浦和レッズＪｒユース－浦和レッズユース－流通経済大
3,岩波拓也,DF,1994/06/18,兵庫県,須磨ナイスＳＣ－神戸ＦＣ－ヴィッセル神戸Ｊｒユース－ヴィッセル神戸Ｕ－１８－ヴィッセル神戸
4,馬渡和彰,DF,1991/06/23,東京都,三宿中－市立船橋高－東洋大－ガイナーレ鳥取－ツエーゲン金沢－徳島ヴォルティス－サンフレッチェ広島－川崎フロンターレ－湘南ベルマーレ－川崎フロンターレ－大宮アルディージャ
5,キャスパーユンカー,FW,1994/03/05,デンマーク,デンマーク
6,小泉佳穂,MF,1996/10/05,東京都,光が丘ＫＩＤ　ＳＣ－ＦＣ東京Ｕ－１５むさし－前橋育英高－青山学院大－ＦＣ琉球
7,ダヴィドモーベルグ,MF,1994/03/20,スウェーデン,スウェーデン
8,松尾佑介,MF,1997/07/23,埼玉県,戸塚フットボールジュニアクラブ－浦和レッズＪｒユース－浦和レッズユース－仙台大－横浜ＦＣ
9,鈴木彩艶,GK,2002/08/21,アメリカ合衆国,浦和レッズジュニア－浦和レッズＪｒユース－浦和レッズユース
10,犬飼智也,DF,1993/05/12,静岡県,東源台ＦＣ－清水エスパルスＪｒユース－清水エスパルスユース－清水エスパルス－松本山雅ＦＣ－清水エスパルス－松本山雅ＦＣ－清水エスパルス－鹿島アントラーズ
11,関根貴大,MF,1995/04/19,埼玉県,ＦＣ鶴ヶ島サッカー少年団－浦和レッズＪｒユース－浦和レッズユース－浦和レッズ－インゴルシュタット０４／ドイツ－シント＝トロイデン／ベルギー
12,明本考浩,MF,1998/01/31,栃木県,栃木ＳＣジュニア－栃木ＳＣＪｒユース－栃木ＳＣユース－国士舘大－栃木ＳＣ
13,牲川歩見,GK,1994/05/12,静岡県,ジュビロ磐田Ｊｒユース－ジュビロ磐田Ｕ－１８－ジュビロ磐田－サガン鳥栖－ジュビロ磐田－ザスパクサツ群馬－ジュビロ磐田－アスルクラロ沼津－ジュビロ磐田－アスルクラロ沼津－水戸ホーリーホック
14,アレックスシャルク,FW,1992/08/07,オランダ,オランダ
15,岩尾憲,MF,1988/04/18,群馬県,多々良ＦＣ－図南ＳＣ－多々良中－西邑楽高－日本体育大－湘南ベルマーレ－水戸ホーリーホック－湘南ベルマーレ－徳島ヴォルティス
16,知念哲矢,DF,1997/11/08,沖縄県,仲井真・真地ＦＣ－識名ＦＣ－石田中－長崎総合科学大附属高－近畿大－ＦＣ琉球
17,大久保智明,MF,1998/07/23,東京都,ビートルイレブン－東京ヴェルディジュニア－東京ヴェルディＪｒユース－東京ヴェルディユース－中央大
18,柴戸海,MF,1995/11/24,神奈川県,いぶき野ＦＣヘリオス－町田ＪＦＣ－市立船橋高－明治大
19,宮本優太,DF,1999/12/15,東京都,田柄ＦＣ－Ｆｏｒｚａ０２－流通経済大付属柏高－流通経済大
20,安居海渡,MF,2000/02/09,埼玉県,川口朝日リボルバーサッカー少年団－武南ジュニアユースフットボールクラブ－浦和学院高－流通経済大
21,木原励,FW,2003/06/04,大阪府,ＬＳＡ　ＦＣ－セレッソ大阪Ｕ－１５－京都橘高
22,松崎快,MF,1997/11/22,埼玉県,川越ひまわりＳＣ－大宮アルディージャＪｒユース－大宮アルディージャユース－東洋大－水戸ホーリーホック
23,アレクサンダーショルツ,DF,1992/10/24,デンマーク,デンマーク
24,江坂任,MF,1992/05/31,兵庫県,ウッディＳＣ－ゆりのき台中－神戸弘陵学園高－流通経済大－ザスパクサツ群馬－大宮アルディージャ－柏レイソル
25,平野佑一,MF,1996/03/11,東京都,キンダー善光ＳＣ－東京ヴェルディＪｒユース－国学院久我山高－国士舘大－水戸ホーリーホック
26,工藤孝太,DF,2003/08/13,和歌山県,南紀ＪＳＣ－浦和レッズＪｒユース－浦和レッズユース
27,大畑歩夢,DF,2001/04/27,福岡県,小倉南ＦＣ－サガン鳥栖Ｕ－１８－サガン鳥栖
28,稲垣篤志,DF,2005/03/03,大阪府,新座片山ＦＣ少年団－浦和レッズＪｒユース
29,早川隼平,MF,2005/12/05,埼玉県,１ＦＣ川越水上公園－浦和レッズＪｒユース
30,根山翔伍,GK,2004/04/25,北海道,桔梗サッカー少年団－函館サッカースクール－スプレッドイーグルＦＣ函館
31,江橋勇斗,GK,2005/04/11,千葉県,柏レイソルＡ．Ａ．ＴＯＲ’８２－浦和レッズＪｒユース
