,name,position,birthday,birthplace,pre_team
0,猿田遥己,GK,1999/04/23,東京都,ＦＣ大泉学園－横河武蔵野ＦＣジュニア－横河武蔵野ＦＣＪｒユース－柏レイソルＵ－１８－柏レイソル－鹿児島ユナイテッドＦＣ－柏レイソル－ガンバ大阪－柏レイソル－横浜ＦＣ
1,三丸拡,DF,1993/07/06,栃木県,大谷北ＦＣ－小山第三中－真岡高－筑波大－サガン鳥栖
2,高橋祐治,DF,1993/04/11,滋賀県,京都紫光ＳＣ－京都サンガF.C.Ｕ－１５－京都サンガF.C.Ｕ－１８－京都サンガF.C.－ブリスベン　ロアー／オーストラリア－京都サンガF.C.－カマタマーレ讃岐－京都サンガF.C.－サガン鳥栖
3,古賀太陽,DF,1998/10/28,新潟県,舞浜ＦＣファルコンズ－柏レイソルＵ－１２－柏レイソルＵ－１５－柏レイソルＵ－１８－柏レイソル－アビスパ福岡
4,エメルソンサントス,DF,1995/04/05,ブラジル,ブラジル
5,椎橋慧也,MF,1997/06/20,千葉県,咲が丘ＳＣ－八木が谷中－市立船橋高－ベガルタ仙台
6,大谷秀和,MF,1984/11/06,千葉県,柏レイソルＪｒユース－柏レイソルユース
7,中村慶太,MF,1993/06/30,千葉県,増穂ＦＣ－正木ＦＣ－アルティスタＦＣ－流通経済大付属柏高－流通経済大－ＡＣＢＢ／フランス－流通経済大－Ｖ・ファーレン長崎－清水エスパルス
8,武藤雄樹,FW,1988/11/07,神奈川県,ＦＣシリウス－ＦＣ湘南Ｊｒユース－武相高－流通経済大－ベガルタ仙台－浦和レッズ
9,マテウスサヴィオ,MF,1997/04/15,ブラジル,ブラジル
10,北爪健吾,DF,1992/04/30,群馬県,粕川コリエンテジュニア－前橋エコーＪｒユース－前橋育英高－専修大－ジェフユナイテッド千葉－横浜ＦＣ
11,小屋松知哉,MF,1995/04/24,京都府,宇治ＦＣ－京都橘高－名古屋グランパス－京都サンガF.C.－サガン鳥栖
12,染谷悠太,DF,1986/09/30,東京都,ＦＣ東京Ｕ－１５－ＦＣ東京Ｕ－１８－流通経済大－京都サンガF.C.－セレッソ大阪－京都サンガF.C.
13,キムスンギュ,GK,1990/09/30,大韓民国,大韓民国
14,細谷真大,FW,2001/09/07,茨城県,柏レイソルＡ．Ａ．ＴＯＲ’８２－柏レイソルＵ－１５－柏レイソルＵ－１８
15,佐々木雅士,GK,2002/05/01,千葉県,常盤平少年ＳＣ－柏レイソルＵ－１２－柏レイソルＵ－１５－柏レイソルＵ－１８
16,ドッジ,MF,1996/04/17,ブラジル,ブラジル
17,岩下航,DF,1999/04/01,熊本県,ＦＣＫマリーゴールド熊本Ｕ－１２－ＦＣＫマリーゴールド熊本－前橋育英高－桐蔭横浜大－ロアッソ熊本
18,川口尚紀,DF,1994/05/24,新潟県,希望が丘ＳＣスポーツ少年団－長岡ビルボードＦＣＪｒユース－アルビレックス新潟ユース－アルビレックス新潟－清水エスパルス－アルビレックス新潟－柏レイソル－アルビレックス新潟
19,大南拓磨,DF,1997/12/13,愛知県,名古屋ＦＣＵ－１５－鹿児島実業高－ジュビロ磐田
20,三原雅俊,MF,1988/08/02,熊本県,ブレイズ熊本キッカーズ－ブレイズ熊本ジュニア－ルーテル学院中－ルーテル学院高－ヴィッセル神戸－ツエーゲン金沢－ヴィッセル神戸－Ｖ・ファーレン長崎－ヴィッセル神戸－柏レイソル－ヴィッセル神戸
21,戸嶋祥郎,MF,1995/09/26,埼玉県,浦和常盤サッカースポーツ少年団－浦和レッズＪｒユース－市立浦和高－筑波大－アルビレックス新潟
22,アンジェロッティ,MF,1998/04/27,ブラジル,ブラジル
23,加藤匠人,MF,1999/05/09,埼玉県,ＦＣアビリスタ－柏レイソルＵ－１２－柏レイソルＵ－１５－柏レイソルＵ－１８－筑波大
