,name,position,birthday,birthplace,pre_team
0,守田達弥,GK,1990/08/03,千葉県,イーグルス－ＦＣ　リベレオ－習志野高－京都サンガF.C.－カターレ富山－京都サンガF.C.－カターレ富山－京都サンガF.C.－アルビレックス新潟－松本山雅ＦＣ
1,飯野七聖,MF,1996/10/02,新潟県,上越ＦＣ－アルビレックス新潟Ｕ－１５－アルビレックス新潟Ｕ－１８－国士舘大－ザスパクサツ群馬
2,ジョアンオマリ,DF,1988/08/19,レバノン,レバノン
3,島川俊郎,MF,1990/05/28,千葉県,柏レイソルＪｒユース－柏レイソルＵ－１８－ベガルタ仙台－東京ヴェルディ－ベガルタ仙台－ブラウブリッツ秋田－ベガルタ仙台－ブラウブリッツ秋田－ベガルタ仙台－ブラウブリッツ秋田－レノファ山口ＦＣ－栃木ＳＣ－レノファ山口ＦＣ－ヴァンフォーレ甲府－大分トリニータ
4,ジエゴ,DF,1995/09/21,ブラジル,ブラジル
5,福田晃斗,MF,1992/05/01,三重県,名古屋グランパスＵ１５－四日市中央工高－鹿屋体育大－サガン鳥栖－湘南ベルマーレ－アルビレックス新潟
6,中野嘉大,MF,1993/02/24,鹿児島県,パルティーダ鹿児島Ｕ－１２－パルティーダ鹿児島Ｕ－１５－佐賀東高－筑波大－川崎フロンターレ－ベガルタ仙台－川崎フロンターレ－ベガルタ仙台－北海道コンサドーレ札幌－サガン鳥栖－北海道コンサドーレ札幌
7,本田風智,MF,2001/05/10,福岡県,ＰＦＴＣ北九州Ｕ－１２－ＰＦＴＣ北九州Ｕ－１５－サガン鳥栖Ｕ－１８
8,小野裕二,MF,1992/12/22,神奈川県,城北ファイターズ－横浜Ｆ・マリノスＪｒユース追浜－横浜Ｆ・マリノスユース－横浜Ｆ・マリノス－スタンダード　リエージュ／ベルギー－シント　トロイデン／ベルギー－サガン鳥栖－ガンバ大阪
9,宮代大聖,FW,2000/05/26,東京都,渋谷東部ＪＦＣ－川崎フロンターレＵ－１２－川崎フロンターレＵ－１５－川崎フロンターレＵ－１８－川崎フロンターレ－レノファ山口ＦＣ－川崎フロンターレ－徳島ヴォルティス－川崎フロンターレ
10,深谷圭佑,GK,1998/06/20,愛知県,豊川ＳＳ－ＦＣ豊橋リトルＪセレソン－ＦＣ豊橋デューミラン－帝京長岡高－立正大－品川ＣＣ
11,中野伸哉,DF,2003/08/17,佐賀県,サガン鳥栖Ｕ－１５－サガン鳥栖Ｕ－１８
12,藤田直之,MF,1987/06/22,福岡県,ライジングスターズ－東海大第五高－福岡大－サガン鳥栖－ヴィッセル神戸－セレッソ大阪
13,梶谷政仁,FW,2000/03/09,埼玉県,アストロンＦＣ－ＡＣアスミＪｒユースＦＣ－正智深谷高－国士舘大
14,荒木駿太,FW,1999/10/24,福岡県,勢門ウイングス－ルーヴェン福岡－長崎総合科学大附属高－駒澤大
15,西川潤,MF,2002/02/21,神奈川県,青葉ＦＣ－横浜Ｆ・マリノスＪｒユース－桐光学園高－セレッソ大阪
16,垣田裕暉,FW,1997/07/14,群馬県,鹿島アントラーズＪｒユース－鹿島アントラーズユース－鹿島アントラーズ－ツエーゲン金沢－鹿島アントラーズ－ツエーゲン金沢－鹿島アントラーズ－ツエーゲン金沢－鹿島アントラーズ－徳島ヴォルティス－鹿島アントラーズ
17,ファンソッコ,DF,1989/06/27,大韓民国,大韓民国
18,オムイェフン,GK,2002/09/23,大韓民国,大韓民国
19,佐藤響,MF,2000/03/21,栃木県,ヴェルディＳＳ小山－水戸啓明高－流通経済大
20,菊地泰智,MF,1999/05/07,埼玉県,浦和レッズＪｒユース－流通経済大付属柏高－流通経済大
21,藤原悠汰,FW,1999/04/09,広島県,サンフレッチェ広島ジュニア－サンフレッチェ広島Ｊｒユース－広島皆実高－明治大
22,孫大河,DF,1999/06/13,東京都,正智深谷高－立正大
23,相良竜之介,MF,2002/08/17,佐賀県,サガン鳥栖Ｕ－１５－サガン鳥栖Ｕ－１８
