,name,position,birthday,birthplace,pre_team
0,林卓人,GK,1982/08/09,大阪府,金光大阪高－サンフレッチェ広島－コンサドーレ札幌－ベガルタ仙台－コンサドーレ札幌－ベガルタ仙台－コンサドーレ札幌－ベガルタ仙台－コンサドーレ札幌－ベガルタ仙台
1,野上結貴,DF,1991/04/20,東京都,若杉ＳＣ－ワセダクラブＦｏｒｚａ’０２－保善高－桐蔭横浜大－横浜ＦＣ
2,塩谷司,DF,1988/12/05,徳島県,南小松島ＦＣ－大松ＳＣ－大塚ＳＣ－徳島商高－国士舘大－水戸ホーリーホック－サンフレッチェ広島－アル　アインＦＣ／アラブ首長国連邦
3,荒木隼人,DF,1996/08/07,大阪府,ガンバ大阪門真ジュニア－ガンバ大阪門真Ｊｒユース－サンフレッチェ広島ユース－関西大
4,青山敏弘,MF,1986/02/22,岡山県,ＫＳＳ　ＨＡＪＡＸＳ　ＦＣ－作陽高
5,野津田岳人,MF,1994/06/06,広島県,シーガル広島－サンフレッチェ広島Ｊｒユース－サンフレッチェ広島ユース－サンフレッチェ広島－アルビレックス新潟－サンフレッチェ広島－清水エスパルス－サンフレッチェ広島－ベガルタ仙台－サンフレッチェ広島－ベガルタ仙台－サンフレッチェ広島－ヴァンフォーレ甲府
6,ドウグラスヴィエイラ,FW,1987/11/12,ブラジル,ブラジル
7,森島司,MF,1997/04/25,三重県,愛宕サッカー少年団－名古屋グランパスエイトＪｒユース－ヴィアティン北勢ＦＣ－四日市中央工高
8,ナッシムベンカリファ,FW,1992/01/13,スイス,スイス
9,エゼキエウ,MF,1998/03/09,ブラジル,ブラジル
10,藤井智也,MF,1998/12/04,岐阜県,若鮎長良ＦＣ－長良高－立命館大
11,浅野雄也,MF,1997/02/17,三重県,ぺルナＳＣ－八風中－四日市四郷高－大阪体育大－水戸ホーリーホック－サンフレッチェ広島－水戸ホーリーホック
12,松本泰志,MF,1998/08/22,埼玉県,クマガヤＳＣ－昌平高－サンフレッチェ広島－アビスパ福岡－サンフレッチェ広島－セレッソ大阪
13,柏好文,MF,1987/07/28,山梨県,増穂サッカースポーツ少年団－フォルトゥナＳＣ－韮崎高－国士舘大－ヴァンフォーレ甲府
14,佐々木翔,DF,1989/10/02,神奈川県,栗原ＦＣ－横浜Ｆ・マリノスプライマリー－横浜Ｆ・マリノスＪｒユース－城山高－神奈川大－ヴァンフォーレ甲府
15,永井龍,FW,1991/05/23,兵庫県,西宮少年ＳＣ－セレッソ大阪Ｕ－１５－セレッソ大阪Ｕ－１８－セレッソ大阪－パースグローリーＦＣ／オーストラリア－セレッソ大阪－大分トリニータ－セレッソ大阪－Ｖ・ファーレン長崎－名古屋グランパス－松本山雅ＦＣ
16,住吉ジェラニレショーン,DF,1997/10/05,アメリカ合衆国,一本松ＳＣ－ＢＡＮＦＦ横浜ベイ－日大藤沢高－国士舘大－水戸ホーリーホック
17,川浪吾郎,GK,1991/04/30,茨城県,手代木ＳＣ－柏レイソルＵ－１５－柏レイソルＵ－１８－柏レイソル－ＦＣ岐阜－柏レイソル－徳島ヴォルティス－柏レイソル－徳島ヴォルティス－アルビレックス新潟－ベガルタ仙台
18,鮎川峻,FW,2001/09/15,愛知県,ＦＣ　ＦＥＲＶＯＲ愛知－サンフレッチェ広島ユース
19,東俊希,MF,2000/07/28,愛媛県,ＦＣゼブラ－サンフレッチェ広島ユース
20,茶島雄介,MF,1991/07/20,広島県,サンフレッチェ広島ジュニア－サンフレッチェ広島Ｊｒユース－サンフレッチェ広島ユース－東京学芸大－サンフレッチェ広島－ジェフユナイテッド千葉－サンフレッチェ広島－ジェフユナイテッド千葉
21,川村拓夢,MF,1999/08/28,広島県,原ＳＣ－サンフレッチェ広島Ｊｒユース－サンフレッチェ広島ユース－サンフレッチェ広島－愛媛ＦＣ－サンフレッチェ広島－愛媛ＦＣ－サンフレッチェ広島－愛媛ＦＣ
22,棚田遼,FW,2003/06/19,広島県,シーガル広島－サンフレッチェ広島Ｊｒユース－サンフレッチェ広島ユース
23,柴﨑晃誠,MF,1984/08/28,長崎県,国見少年ＳＣ－国見中－国見高－国士舘大－東京ヴェルディ－川崎フロンターレ－東京ヴェルディ－川崎フロンターレ－徳島ヴォルティス
24,今津佑太,DF,1995/07/08,山梨県,甲西トラベッソジュニア－甲西トラベッソＪｒユース－流通経済大付属柏高－流通経済大－ヴァンフォーレ甲府
25,ジュニオールサントス,FW,1994/10/11,ブラジル,ブラジル
26,大迫敬介,GK,1999/07/28,鹿児島県,江内サッカースポーツ少年団－フェリシドＦＣ－サンフレッチェ広島ユース
27,満田誠,FW,1999/07/20,熊本県,ソレッソ熊本－サンフレッチェ広島ユース－流通経済大
28,長沼洋一,MF,1997/04/14,山梨県,ＵスポーツクラブＵ－１２－ＵスポーツクラブＵ－１５－サンフレッチェ広島ユース－サンフレッチェ広島－モンテディオ山形－サンフレッチェ広島－ＦＣ岐阜－サンフレッチェ広島－愛媛ＦＣ－サンフレッチェ広島－愛媛ＦＣ
29,仙波大志,MF,1999/08/19,広島県,サンフレッチェ広島ジュニア－サンフレッチェ広島Ｊｒユース－サンフレッチェ広島ユース－流通経済大
30,笠木優寿,MF,2004/11/06,広島県,ピースクラブ－サンフレッチェびんごＪｒユースＦＣ
31,越道草太,MF,2004/04/03,広島県,サンフレッチェ広島Ｊｒユース
32,中野就斗,DF,2000/06/27,東京都,ＡＺ８６東京青梅－桐生第一高－桐蔭横浜大在学中
33,名越瑛恆,GK,2004/07/23,京都府,京都花園ＦＣ－京都Ｊ－マルカＦＣ
34,畑野遼太,MF,2004/04/27,広島県,東小サッカー教室－ＦＣバイエルンツネイシ
35,山﨑大地,DF,2001/01/08,広島県,サンフレッチェ広島Ｊｒユース－サンフレッチェ広島ユース－順天堂大在学中
36,山田光真,GK,2005/07/29,滋賀県,ＬＡＫＥ　ＷＥＳＴ　ＪＦＣ－ＳＡＧＡＷＡ　ＳＨＩＧＡ　ＦＣ
