,name,position,birthday,birthplace,pre_team
0,若原智哉,GK,1999/12/28,滋賀県,矢倉ＦＣ－京都サンガF.C.Ｕ－１５－京都サンガF.C.Ｕ－１８
1,飯田貴敬,DF,1994/08/31,茨城県,真壁ジュニオール－下館西中－野洲高－専修大－清水エスパルス
2,麻田将吾,DF,1998/07/06,長野県,アルフット安曇野ジュニア－アルフット安曇野Ｊｒユース－京都サンガF.C.Ｕ－１８－京都サンガF.C.－カマタマーレ讃岐－京都サンガF.C.－カマタマーレ讃岐
3,メンデス,DF,1995/04/25,ブラジル,ブラジル
4,アピアタウィア久,DF,1998/10/18,愛知県,愛知ＦＣ　Ｕ－１２－愛知ＦＣ　Ｕ－１５－東邦高－流通経済大－ベガルタ仙台
5,本多勇喜,DF,1991/01/02,愛知県,岐阜ＶＡＭＯＳ－名古屋グランパスＵ１８－阪南大－名古屋グランパス
6,武富孝介,MF,1990/09/23,埼玉県,三室少年団－柏レイソルＵ－１５－柏レイソルＵ－１８－柏レイソル－モジミリンＥＣ／ブラジル－柏レイソル－ロアッソ熊本－柏レイソル－ロアッソ熊本－柏レイソル－湘南ベルマーレ－柏レイソル－湘南ベルマーレ－柏レイソル－浦和レッズ－湘南ベルマーレ－浦和レッズ
7,荒木大吾,MF,1994/02/17,千葉県,柏レイソルＵ－１５－柏レイソルＵ－１８－青山学院大－ジュビロ磐田
8,ピーターウタカ,FW,1984/02/12,ナイジェリア,ベルギー
9,福岡慎平,MF,2000/06/27,奈良県,アスペガス生駒ＦＣ－京都サンガF.C.Ｕ－１５－京都サンガF.C.Ｕ－１８
10,山﨑凌吾,FW,1992/09/20,岡山県,ヒーロ備前Ｊｒユース－玉野光南高－福岡大－サガン鳥栖－徳島ヴォルティス－サガン鳥栖－徳島ヴォルティス－湘南ベルマーレ－名古屋グランパス
11,宮吉拓実,FW,1992/08/07,滋賀県,ラーゴＦＣ－京都サンガF.C.Ｕ－１５－京都サンガF.C.Ｕ－１８－京都サンガF.C.－カターレ富山－京都サンガF.C.－サンフレッチェ広島－北海道コンサドーレ札幌
12,白井康介,DF,1994/05/01,愛知県,ＦＣ豊橋リトルＪセレソン－ＦＣ豊橋デューミラン－大阪桐蔭高－湘南ベルマーレ－福島ユナイテッドＦＣ－湘南ベルマーレ－愛媛ＦＣ－湘南ベルマーレ－愛媛ＦＣ－北海道コンサドーレ札幌
13,長井一真,DF,1998/11/02,大阪府,大阪セントラルＦＣ－大阪セントラルＦＣＪｒユース－興国高－関西大
14,武田将平,MF,1994/04/04,神奈川県,リトルジャンボＳ．Ｃ－伊勢原中－流通経済大付属柏高－神奈川大－ファジアーノ岡山－ヴァンフォーレ甲府－ファジアーノ岡山
15,荻原拓也,DF,1999/11/23,埼玉県,１ＦＣ川越水上公園－浦和レッズＪｒユース－浦和レッズユース－浦和レッズ－アルビレックス新潟－浦和レッズ－京都サンガF.C.－浦和レッズ
16,松田天馬,MF,1995/06/11,熊本県,熊本ユナイテッドＳＣ　Ｕ－１２－熊本ユナイテッドＳＣ　Ｕ－１５－東福岡高－鹿屋体育大－湘南ベルマーレ
17,金子大毅,MF,1998/08/28,東京都,烏山北ＦＣ－ＦＣトッカーノＵ－１５－市立船橋高－神奈川大－湘南ベルマーレ－浦和レッズ
18,マルティノス,FW,1991/03/07,オランダ,オランダ
19,上福元直人,GK,1989/11/17,千葉県,北貝塚ＦＣ－ＦＣ若葉－千葉ＳＣ美浜－市立船橋高－順天堂大－大分トリニータ－ＦＣ町田ゼルビア－大分トリニータ－東京ヴェルディ－徳島ヴォルティス
20,豊川雄太,FW,1994/09/09,熊本県,大津高－鹿島アントラーズ－ファジアーノ岡山－鹿島アントラーズ－ファジアーノ岡山－鹿島アントラーズ－ＫＡＳオイペン／ベルギー－セレッソ大阪
21,川﨑颯太,MF,2001/07/30,山梨県,フォルトゥナＳＣ－ヴァンフォーレ甲府Ｕ－１２－ヴァンフォーレ甲府Ｕ－１５－京都サンガF.C.Ｕ－１８
22,中野桂太,MF,2002/08/27,滋賀県,ＦＣ草津－京都サンガF.C.Ｕ－１５－京都サンガF.C.Ｕ－１８
23,太田岳志,GK,1990/12/26,三重県,大山田ＳＳＳ－陵成中－暁高－大阪学院大－ＦＣ岐阜－東京ヴェルディ－カターレ富山－東京ヴェルディ－カターレ富山
24,山田楓喜,MF,2001/07/10,滋賀県,土山スポーツ少年団－京都サンガF.C.Ｕ－１５－京都サンガF.C.Ｕ－１８
25,田中和樹,FW,2000/01/13,栃木県,パルＳＣ－ヴェルディＳＳ小山－浦和学院高－法政大
26,井上黎生人,DF,1997/03/09,島根県,ＲＥＳＴＡ　ＦＣ－鹿児島実業高－ガイナーレ鳥取－ファジアーノ岡山
27,マイケルウッド,GK,1999/01/16,ニュージーランド,ニュージーランド
28,三沢直人,MF,1995/07/07,埼玉県,千代田ＦＣ－カムイＪｒユース－西武台高－専修大－Ｙ．Ｓ．Ｃ．Ｃ．横浜－ガイナーレ鳥取
29,平賀大空,MF,2005/03/02,兵庫県,センアーノ神戸ジュニア－神戸ＦＣＪｒユース
30,植田悠太,DF,2004/07/06,滋賀県,FC 瀬田－京都サンガF.C.Ｕ－１５
31,小山真生,FW,2004/06/23,京都府,鳳凰ＪＦＣ－京都サンガF.C.Ｕ－１５
32,イスマイラ,FW,1998/08/04,ナイジェリア,ナイジェリア
33,木村勇大,FW,2001/02/28,大阪府,ＹＮキッカーズ－東京ヴェルディジュニア－ヴィッセル神戸Ｕ－１２－ヴィッセル神戸Ｕ－１５－大阪桐蔭高－関西学院大在学中
34,江角健太,GK,2004/08/25,島根県,大社少年ＳＣ－サンフレッチェくにびきＦＣ
