,name,position,birthday,birthplace,pre_team
0,前川黛也,GK,1994/09/08,広島県,大分トリニータＵ－１２－サンフレッチェ広島ジュニア－サンフレッチェ広島Ｊｒユース－広島皆実高－関西大
1,小林友希,DF,2000/07/18,兵庫県,ヴィッセル神戸Ｕ－１２－ヴィッセル神戸Ｕ－１５－ヴィッセル神戸Ｕ－１８－ヴィッセル神戸－ＦＣ町田ゼルビア－ヴィッセル神戸－横浜ＦＣ
2,山口蛍,MF,1990/10/06,三重県,箕曲ＷＥＳＴＦＣ－セレッソ大阪Ｕ－１５－セレッソ大阪Ｕ－１８－セレッソ大阪－ハノーファー９６／ドイツ－セレッソ大阪
3,セルジサンペール,MF,1995/01/20,スペイン,スペイン
4,郷家友太,MF,1999/06/10,宮城県,鶴ヶ谷ＳＳＳ－ベガルタ仙台Ｊｒユース－青森山田中－青森山田高
5,アンドレスイニエスタ,MF,1984/05/11,スペイン,スペイン
6,ボージャンクルキッチ,FW,1990/08/28,スペイン,スペイン
7,大迫勇也,FW,1990/05/18,鹿児島県,万世ＳＳＳ－鹿児島育英館中－鹿児島城西高－鹿島アントラーズ－ＴＳＶ　１８６０　ミュンヘン／ドイツ－１．ＦＣケルン／ドイツ－ヴェルダーブレーメン／ドイツ
8,武藤嘉紀,FW,1992/07/15,東京都,バディＳＣ－ＦＣ東京Ｕ－１５深川－ＦＣ東京Ｕ－１８－慶応大－ＦＣ東京－１．ＦＳＶマインツ０５／ドイツ－ニューカッスルユナイテ／イングランド－ＳＤエイバル／スペイン－ニューカッスルユナイテ／イングランド
9,槙野智章,DF,1987/05/11,広島県,井口明神ＦＣ－サンフレッチェ広島Ｊｒユース－サンフレッチェ広島ユース－サンフレッチェ広島－１．ＦＣケルン／ドイツ－浦和レッズ
10,橋本拳人,MF,1993/08/16,東京都,フナトアミーゴＳＣ－ＦＣ東京Ｕ－１５深川－ＦＣ東京Ｕ－１８－ＦＣ東京－ロアッソ熊本－ＦＣ東京－ロアッソ熊本－ＦＣ東京－ＦＣロストフ／ロシア連邦
11,汰木康也,MF,1995/07/03,神奈川県,原ＦＣ－横浜Ｆ・マリノスプライマリー－横浜Ｆ・マリノスＪｒユース－横浜Ｆ・マリノスユース－モンテディオ山形－浦和レッズ
12,菊池流帆,DF,1996/12/09,岩手県,青森山田高－大阪体育大－レノファ山口ＦＣ
13,飯倉大樹,GK,1986/06/01,神奈川県,ＦＣイーグルス－横浜Ｆ・マリノスプライマリー追浜－横浜Ｆ・マリノスＪｒユース追浜－横浜Ｆ・マリノスユース－横浜Ｆ・マリノス－ロッソ熊本－横浜Ｆ・マリノス
14,初瀬亮,DF,1997/07/10,大阪府,岸和田ＪＳＣ－アンドリュースＦＣ－ガンバ大阪Ｊｒユース－ガンバ大阪ユース－ガンバ大阪－ヴィッセル神戸－アビスパ福岡
15,井上潮音,MF,1997/08/03,神奈川県,ＪＡＣＰＡ東京ＦＣ－東京ヴェルディジュニア－東京ヴェルディＪｒユース－東京ヴェルディユース－東京ヴェルディ
16,藤本憲明,FW,1989/08/19,大阪府,ガンバ大阪堺ジュニア－ガンバ大阪堺Ｊｒユース－青森山田高－近畿大－佐川印刷ＳＣ－佐川印刷京都ＳＣ－ＳＰ京都ＦＣ－鹿児島ユナイテッドＦＣ－大分トリニータ－ヴィッセル神戸－清水エスパルス
17,佐々木大樹,MF,1999/09/17,島根県,レスポール浜田Ｊｒユース－ヴィッセル神戸Ｕ－１８－ヴィッセル神戸－ＳＥパルメイラス／ブラジル
18,山川哲史,DF,1997/10/01,兵庫県,笹原ＳＣ－ヴィッセル神戸Ｕ－１５－ヴィッセル神戸Ｕ－１８－筑波大
19,酒井高徳,DF,1991/03/14,新潟県,三条サッカースポーツ少年団－レザーＦＣＪｒユース－アルビレックス新潟ユース－アルビレックス新潟－ＶｆＢシュトゥットガルト／ドイツ－アルビレックス新潟－ＶｆＢシュトゥットガルト／ドイツ－ハンブルガーＳＶ／ドイツ
20,大﨑玲央,DF,1991/08/07,東京都,横浜Ｆ・マリノスプライマリー－横浜Ｆ・マリノスＪｒユース－横浜ＦＣユース－桐蔭横浜大－レイルホークス／アメリカ合衆国－横浜ＦＣ－徳島ヴォルティス
21,櫻内渚,DF,1989/08/11,大阪府,八尾南山本ＪＳＣ－ＥＸＥ’９０ＦＣ－作陽高－関西大－ジュビロ磐田
22,坪井湧也,GK,1999/08/23,兵庫県,自由が丘中－ヴィッセル神戸Ｕ－１８－中央大
23,リンコン,FW,2000/12/16,ブラジル,ブラジル
24,中坂勇哉,MF,1997/08/05,徳島県,田宮ビクトリー－ヴィッセル神戸Ｕ－１５－ヴィッセル神戸Ｕ－１８－ヴィッセル神戸－ＣＦペララーダ／スペイン－ヴィッセル神戸－京都サンガF.C.
25,廣永遼太郎,GK,1990/01/09,東京都,ＪＡＣＰＡ東京ＦＣ－ＦＣ東京Ｕ－１５－ＦＣ東京Ｕ－１８－ＦＣ東京－横河武蔵野ＦＣ－ＦＣ東京－ファジアーノ岡山－ＦＣ東京－ファジアーノ岡山－ＦＣ東京－カターレ富山－ＦＣ東京－サンフレッチェ広島
26,扇原貴宏,MF,1991/10/05,大阪府,堺北ＦＣ－セレッソ大阪Ｕ－１５－セレッソ大阪Ｕ－１８－セレッソ大阪－名古屋グランパス－横浜Ｆ・マリノス
27,尾崎優成,DF,2003/07/26,山口県,ヴィッセル神戸Ｕ－１５－ヴィッセル神戸Ｕ－１８
28,小田裕太郎,FW,2001/08/12,兵庫県,ヴィッセル神戸Ｕ－１５－ヴィッセル神戸Ｕ－１８
29,日高光揮,MF,2003/05/11,大阪府,ガンバ大阪堺ジュニア－相生学院高
30,安達秀都,MF,2004/07/15,熊本県,ソレッソ熊本
31,泉柊椰,MF,2000/12/02,大阪府,柏田ＳＣ－ヴィッセル神戸Ｕ－１８－びわこ成蹊スポーツ大在学中
32,蘓鉄航生,FW,2004/05/24,兵庫県,ヴィッセル神戸Ｕ－１５
33,田代紘,DF,2004/06/03,東京都,ヴィッセル神戸Ｕ－１５
34,田村聡佑,GK,2004/08/09,兵庫県,ヴィッセル神戸Ｕ－１５
35,寺阪尚悟,DF,2004/06/06,兵庫県,ヴィッセル神戸Ｕ－１５
36,冨永虹七,FW,2004/07/18,兵庫県,ヴィッセル神戸Ｕ－１５
37,永澤海風,MF,2005/01/25,大阪府,ヴィッセル神戸Ｕ－１５
38,廣畑俊汰,DF,2005/06/21,兵庫県,ヴィッセル神戸Ｕ－１５
39,山内翔,MF,2002/01/06,京都府,ヴィッセル神戸伊丹Ｕ－１５－ヴィッセル神戸Ｕ－１８－ヴィッセル神戸－筑波大在学中
