,name,position,birthday,birthplace,pre_team
0,クォンスンテ,GK,1984/09/11,大韓民国,大韓民国
1,安西幸輝,DF,1995/05/31,兵庫県,戸塚ＦＣジュニア－東京ヴェルディジュニア－東京ヴェルディＪｒユース－東京ヴェルディユース－東京ヴェルディ－鹿島アントラーズ－ポルティモネンセＳＣ／ポルトガル
2,関川郁万,DF,2000/09/13,東京都,ＦＣ多摩－流通経済大付属柏高
3,三竿健斗,MF,1996/04/16,東京都,横河武蔵野ＦＣジュニア－東京ヴェルディジュニア－東京ヴェルディＪｒユース－東京ヴェルディユース－東京ヴェルディ
4,ファンアラーノ,MF,1996/09/02,ブラジル,ブラジル
5,土居聖真,MF,1992/05/21,山形県,ＯＳＡフォルトナ山形ＦＣ－鹿島アントラーズＪｒユース－鹿島アントラーズユース
6,エヴェラウド,FW,1991/07/05,ブラジル,ブラジル
7,荒木遼太郎,MF,2002/01/29,熊本県,ロアッソ熊本Ｊｒユース－東福岡高
8,和泉竜司,MF,1993/11/06,三重県,ＦＣ四日市－市立船橋高－明治大－名古屋グランパス
9,樋口雄太,MF,1996/10/30,佐賀県,サガン鳥栖Ｕ－１２－サガン鳥栖Ｕ－１５－サガン鳥栖Ｕ－１８－鹿屋体育大－サガン鳥栖
10,ブエノ,DF,1995/08/24,ブラジル,ブラジル
11,小田逸稀,DF,1998/07/16,佐賀県,サガン鳥栖Ｕ－１５唐津－東福岡高－鹿島アントラーズ－ＦＣ町田ゼルビア－鹿島アントラーズ－ジェフユナイテッド千葉
12,アルトゥールカイキ,MF,1992/06/15,ブラジル,ブラジル
13,上田綺世,FW,1998/08/28,茨城県,鹿島アントラーズノルテＪｒユース－鹿島学園高－法政大
14,染野唯月,FW,2001/09/12,茨城県,鹿島アントラーズつくばＪｒユース－尚志高
15,キムミンテ,DF,1993/11/26,大韓民国,大韓民国
16,ディエゴピトゥカ,MF,1992/08/15,ブラジル,ブラジル
17,広瀬陸斗,DF,1995/09/23,埼玉県,土合サッカースポーツ少年団－浦和レッズＪｒユース－浦和レッズユース－水戸ホーリーホック－徳島ヴォルティス－横浜Ｆ・マリノス
18,林尚輝,DF,1998/06/09,大阪府,ＲＩＰ　ＡＣＥ　Ｊｒ－ＲＩＰ　ＡＣＥ　Ｊｒユース－立正大淞南高－大阪体育大
19,小川優介,MF,2002/04/14,埼玉県,ＮＥＯＳ　ＦＣ－ＦＣ　ＬＡＶＩＤＡ－昌平高
20,松村優太,MF,2001/04/13,大阪府,大阪東淀川ＦＣ－静岡学園高
21,溝口修平,DF,2004/02/13,茨城県,鹿島アントラーズノルテＪｒユース－鹿島アントラーズユース
22,早川友基,GK,1999/03/03,神奈川県,横浜Ｆ・マリノスプライマリー－横浜Ｆ・マリノスＪｒユース－桐蔭学園高－明治大
23,名古新太郎,MF,1996/04/17,大阪府,大阪東淀川ＦＣ－静岡学園高－順天堂大－鹿島アントラーズ－湘南ベルマーレ
24,沖悠哉,GK,1999/08/22,茨城県,鹿島アントラーズＪｒユース－鹿島アントラーズユース
25,常本佳吾,DF,1998/10/21,神奈川県,横浜Ｆ・マリノスプライマリー－横浜Ｆ・マリノスＪｒユース－横浜Ｆ・マリノスユース－明治大
26,仲間隼斗,MF,1992/05/16,群馬県,吾妻ジュニア－柏レイソルＵ－１５－柏レイソルＵ－１８－ロアッソ熊本－カマタマーレ讃岐－ロアッソ熊本－カマタマーレ讃岐－ファジアーノ岡山－柏レイソル
27,舩橋佑,MF,2002/07/12,茨城県,鹿島アントラーズつくばジュニア－鹿島アントラーズつくばＪｒユース－鹿島アントラーズユース
28,中村亮太朗,MF,1997/09/27,新潟県,ブルーウイング新潟南－豊照サッカー少年団－グランセナ新潟Ｊｒユース－新潟明訓高－中央大－ヴァンフォーレ甲府
29,山田大樹,GK,2002/01/08,千葉県,鹿島アントラーズＪｒユース－鹿島アントラーズユース
30,鈴木優磨,FW,1996/04/26,千葉県,鹿島アントラーズＪｒユース－鹿島アントラーズユース－鹿島アントラーズ－シント＝トロイデン／ベルギー
